relative_path	artifact_type	evidence_role	retention_decision	files	bytes	slx_count	text_reference_files_at_initial_scan	text_reference_paths_at_initial_scan	saved_status_records_not_revalidation	inventory_date
tmp/ihx_geometry_audit_lak6v9jr	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	6121	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/ihx_geometry_audit_ouf4irke	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	5315	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/ihx_geometry_source_wotvtW	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	5	1249916	0	2	docs/steady53_curve_recheck_20260828.md | tests/verify_steady53_hexe_path_integrability.py		2026-09-07
tmp/ihx_h_origin___i79h93	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	13967	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/ihx_nu_boundary_cGgP81	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/ihx_wall_audit_cpgi40zq	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	4	2093493	0	2	docs/2026-09-02-steady53-rootcause-evidence-matrix.md | docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/ihx_wall_audit_gm51hy41	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/ihx_wall_interface_1rwgchcn	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	5749	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/ihx_wall_interface_9g4kys0d	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	6598	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/instruction_revision_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	41	471016	0	1	docs/2026-09-06-instruction-revision.md		2026-09-07
tmp/li_source_power_definition_20260906	文献来源及提取资料	2026-09-06诊断支撑；见同主题报告	保留出处；见文献清单	21	3340142	0	1	docs/2026-09-06-li-property-and-power-definitions.md		2026-09-07
tmp/lineage_contract_debug_01	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	3	3071754	1	1	docs/model_inventory.tsv		2026-09-07
tmp/map_paper_inspect_20260902	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	7	2315306	0	0			2026-09-07
tmp/map_paper_native_20260902	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	8	3132205	0	0			2026-09-07
tmp/map_slx_inspect_20260902	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	2	614689	0	0			2026-09-07
tmp/nak_enthalpy_0dmtnO	模型副本及实验记录	历史NaK工装失败；保留失败证据	保留；按模型身份和对应报告复用，不默认晋升	2	617390	1	3	docs/model_inventory.tsv | docs/README.md | docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/nak_enthalpy_ORtGWO	模型副本及实验记录	历史NaK候选；使用前复核版本	保留；按模型身份和对应报告复用，不默认晋升	170	17224470	1	4	docs/model_inventory.tsv | docs/STATUS.md | docs/README.md | docs/steady53_curve_recheck_20260828.md	tmp/nak_enthalpy_ORtGWO/candidate_14000/status.json: success=True | tmp/nak_enthalpy_ORtGWO/candidate_500/status.json: success=True	2026-09-07
tmp/nak_provenance_20260829	文献来源及提取资料	文献来源及提取资料	保留出处；见文献清单	11	6686347	0	1	tests/verify_nak_property_provenance.py		2026-09-07
tmp/nak_triplet_audit_20260829	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	5257	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/nak_triplet_provenance_20260829_yihN9W	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	315	16013203	0	1	tests/audit_nak_triplet_and_radiator_provenance.py		2026-09-07
tmp/pdfs	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	40	11463245	0	3	docs/restart_class3_candidates_20260824.md | docs/restart_file_classification_20260824.tsv | docs/restart_baseline_audit_20260824.md		2026-09-07
tmp/precooler_boundary_6I97Di	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	0	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/precooler_boundary_kd0F3a	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	103	2912984	1	4	docs/2026-09-02-steady53-rootcause-evidence-matrix.md | docs/model_inventory.tsv | docs/steady53_curve_recheck_20260828.md | tests/patch_nak_enthalpy_candidate.m		2026-09-07
tmp/precooler_boundary_koK1sm	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	2	197599	1	2	docs/model_inventory.tsv | docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/pressure_basis_r0Vlh9	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	7	1332597	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/pressure_chain_1l2mJo	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	6	231604	0	2	docs/steady53_curve_recheck_20260828.md | tests/verify_pressure_chain.py		2026-09-07
tmp/pressure_chain_4chhD5	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	8	365052	0	2	docs/steady53_curve_recheck_20260828.md | tests/compare_pressure_closure_cases.py		2026-09-07
tmp/pressure_closure_4FKFZS	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	352	29860908	1	7	docs/model_inventory.tsv | docs/steady53_curve_recheck_20260828.md | tests/patch_pressure_algebraic_candidate.m | tests/pressure_closure_plan_20260829.md | tests/check_nak_loop_energy.py | tests/run_precooler_boundary_diagnostic.m | tests/compare_nak_enthalpy_candidate.py	tmp/pressure_closure_4FKFZS/reference_14000/status.json: success=True | tmp/pressure_closure_4FKFZS/candidate_14000/status.json: success=True | tmp/pressure_closure_4FKFZS/reference_500/status.json: success=True | tmp/pressure_closure_4FKFZS/candidate_500/status.json: success=True	2026-09-07
tmp/radiator_A1_20260830_A1	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	43	10891829	11	2	docs/model_inventory.tsv | docs/superpowers/plans/2026-08-30-radiator-a1-staged-parameter-envelope.md		2026-09-07
tmp/radiator_A1_20260830_A2	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	613	88095151	11	7	docs/model_inventory.tsv | docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | tests/publish_fig518d_evidence.py | data/provenance/steady53/fig5_18d/manifest.csv | data/provenance/steady53/fig5_18d/a1_summary/batch_14000_summary.json | data/provenance/steady53/fig5_18d/a1_summary/batch_500_summary.json | data/provenance/steady53/fig5_18d/a1_summary/preparation_summary.json		2026-09-07
tmp/radiator_A1_recovery_gate_20260831	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	18	105457	0	2	docs/cleanup_recovery_audit_20260831.md | docs/superpowers/plans/2026-08-31-cleanup-loss-recovery.md		2026-09-07
tmp/radiator_candidate_family_20260829_U4e8VF	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	6	19621	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/radiator_candidate_family_Ail2oe	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	6	125244	0	0			2026-09-07
tmp/radiator_energy_20260828_4h43akj9	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_5y2zi3p_	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_92x9n__4	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_b64f2z6g	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_bsszz3pj	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10839	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/radiator_energy_20260828_buvhhy48	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_d82kloev	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_hf57cj8k	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_m5uk2qyk	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_rmm5o6ij	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_u70b3qqb	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_energy_20260828_w9elthzp	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	10712	0	0			2026-09-07
tmp/radiator_family_20260828_3p8wp_8v	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_4sj7q4j5	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_4vrf_fz0	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_7b8_spz7	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_9e92l391	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_dl6q95dw	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_m8w32dsn	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_o1wz9v92	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_tk5z3ljr	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	3	78130	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/radiator_family_20260828_vd3azl3i	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_vkfgq9tp	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_family_20260828_xrml81bs	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6490	0	0			2026-09-07
tmp/radiator_source_chain_20260829	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	82	34083416	0	0			2026-09-07
tmp/radiator_source_chain_audit_20260829	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	1880	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/radiator_source_chain_audit_20260829_v2	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	1880	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/radiator_source_chain_plan_4nntVh	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	1880	0	0			2026-09-07
tmp/radiator_two_state_feasibility_20260902_A	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	9	23825	0	2	docs/superpowers/plans/2026-09-02-radiator-two-state-feasibility.md | data/provenance/steady53/fig5_18d/two_state_feasibility/manifest.json		2026-09-07
tmp/reactor_coefficient_check_20260905	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	25	7252532	2	3	docs/model_inventory.tsv | docs/2026-09-06-reactor-feedback-local-check.md | docs/2026-09-06-reactor-coefficient-local-check.md		2026-09-07
tmp/reactor_energy_closure_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	2	5504	0	1	docs/2026-09-06-reactor-energy-closure-scope.md		2026-09-07
tmp/reactor_feedback_local_20260906	模型副本及实验记录	2026-09-06诊断支撑；见同主题报告	保留；按模型身份和对应报告复用，不默认晋升	18	2969235	1	2	docs/model_inventory.tsv | docs/2026-09-06-reactor-feedback-local-check.md		2026-09-07
tmp/reactor_ihx_transient_budget_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	5	235159	0	1	docs/2026-09-06-reactor-ihx-transient-budget.md		2026-09-07
tmp/reactor_parameter_provenance_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	20	3637026	0	2	docs/2026-09-06-reactor-thermal-constraints.md | docs/2026-09-06-reactor-parameter-provenance.md		2026-09-07
tmp/reactor_shared_heat_20260906	模型副本及实验记录	最新反应堆探索候选；保留	保留；按模型身份和对应报告复用，不默认晋升	95	10956054	1	4	docs/2026-09-06-reactor-shared-heat-candidate.md | docs/model_inventory.tsv | docs/STATUS.md | docs/README.md	tmp/reactor_shared_heat_20260906/run_500/status.json: success=True	2026-09-07
tmp/reactor_thermal_constraints_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	7	606665	0	1	docs/2026-09-06-reactor-thermal-constraints.md		2026-09-07
tmp/readonly_energy_diagnostic_20260905	离线核查或状态证据	当前14000秒诊断导出；保留	保留；未记录仿真成功不等于物理模型失败	18	1863032	0	1	docs/2026-09-05-steady14000-readonly-energy-diagnostic.md		2026-09-07
tmp/recovered_turbine_package_20260902	模型副本及实验记录	恢复的原始程序包；保持原貌	保留；按模型身份和对应报告复用，不默认晋升	18	332414	1	1	docs/model_inventory.tsv		2026-09-07
tmp/recovery_turbine_docx_20260902	文献来源及提取资料	文献来源及提取资料	保留出处；见文献清单	15	3070658	0	0			2026-09-07
tmp/ref162_20260902	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	2	337831	0	0			2026-09-07
tmp/sampling_origin_20260906	模型副本及实验记录	2026-09-06诊断支撑；见同主题报告	保留；按模型身份和对应报告复用，不默认晋升	6	627975	1	2	docs/model_inventory.tsv | docs/2026-09-06-sampling-stop-time-coupling.md		2026-09-07
tmp/steady-history.ktmOjz	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	3	1861381	3	1	docs/model_inventory.tsv		2026-09-07
tmp/steady-model-api-compare-20260901	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	2454944	0	0			2026-09-07
